created_time,id,pre_processed_message,message_min_processed,shares,status_type,full_picture,reactions_like,reactions_haha,reactions_wow,reactions_sad,reactions_angry,reactions_love,has_textual_message,author
2020-09-30T21:38:26+0000,353551475083023_1102582970179866,seul capital coreia sul maiores cidades mundo alto indice desenvolvimento qualidade vida apesar disso cidade enfrentava problema frequente acumulo lixo ruas quatro cinco coletas diarias lixo lixeiras cidade continuavam transbordando populacao lidar sujeira acumulava ruas responsaveis coleta usando modelos tradicionais sabiam precisao quao cheias lixeiras velocidade acontecia longo dia melhorar eficiencia sistema governo seul contatou startup tecnologia seul decidiu instalar lixeiras inteligentes areas especialmente populosas centro cidade alem reduzir custos coleta objetivo melhorar paisagem urbana tornando ruas limpas criado sistema monitorar distancia capacidade lixeiras inteligentes determinar melhor hora realizar coleta dados coletas passaram ser feitas forma organizada eficiente aproveitando maximo capacidade lixeiras deixar lixo comecasse empilhar pouco tempo instalacao lixeiras inteligentes transbordamento eliminado reducao significativa lixo ruas projeto deu certo ampliado outras areas cidade resultados numeros eliminacao transbordamento lixeiras reducao frequencia coleta custos coleta reduzidos aumento quantidade lixo enviado reciclagem exemplo seul mostra possivel integrar tecnologia criar cidades inteligentes forma simples eficiente melhorando qualidade servicos publicos menor custo maior qualidade vida cidadao conteudos visite novoexplica,seul e a capital da coreia do sul e uma das maiores cidades do mundo com alto indice de desenvolvimento e qualidade de vida . apesar disso ate 2014 a cidade enfrentava um problema frequente com o acumulo de lixo nas ruas . mesmo com quatro a cinco coletas diarias de lixo as lixeiras da cidade continuavam transbordando . a populacao tinha que lidar com a sujeira que se acumulava nas ruas . os responsaveis pela coleta usando os modelos tradicionais nao sabiam com precisao o quao cheias as lixeiras estavam nem a velocidade com que isso acontecia ao longo do dia . para melhorar a eficiencia do sistema o governo de seul contatou uma startup de tecnologia . em 2014 seul decidiu instalar lixeiras inteligentes em areas especialmente populosas no centro da cidade . alem de reduzir os custos de coleta o objetivo era melhorar a paisagem urbana tornando as ruas mais limpas . foi criado um sistema para monitorar a distancia como estava a capacidade das lixeiras inteligentes e determinar a melhor hora para realizar a coleta com mais dados as coletas passaram a ser feitas de forma mais organizada e eficiente aproveitando ao maximo a capacidade das lixeiras sem deixar que o lixo comecasse a se empilhar . pouco tempo depois da instalacao das lixeiras inteligentes o transbordamento foi eliminado e houve uma reducao significativa de lixo nas ruas . o projeto deu certo e foi ampliado para outras areas da cidade . resultados em numeros : eliminacao do transbordamento das lixeiras reducao de 66 % na frequencia de coleta custos de coleta reduzidos em 83 % aumento da quantidade de lixo enviado para reciclagem em 46 % o exemplo de seul nos mostra que e possivel integrar a tecnologia para criar cidades mais inteligentes de forma simples e eficiente melhorando a qualidade dos servicos publicos com menor custo e maior qualidade de vida para o cidadao . para mais conteudos como esse visite o # novoexplica https : //novo.org.br/acompanhe/novo-explica/,153,added_photos,https://scontent-gru2-1.xx.fbcdn.net/v/t1.0-9/p720x720/120540938_1102582496846580_5802606560607197456_o.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=SdxlT5Xg5_8AX9ZypqA&_nc_ht=scontent-gru2-1.xx&oh=597f14b5346fee31e10aa3b4ee0787d6&oe=5F9EFF6F,1090,1,10,0,1,30,True,amoedo
2020-09-30T17:01:16+0000,353551475083023_1102432626861567, , ,554,added_photos,https://scontent-gru1-1.xx.fbcdn.net/v/t1.0-9/s720x720/120541450_1102432593528237_2833215045720594152_o.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=oPnLSJpNTfQAX85Ofh9&_nc_ht=scontent-gru1-1.xx&tp=7&oh=1298b222ffecb289f6e4a1bdb90d36fb&oe=5F9CE9BB,5989,11,3,3,6,119,False,amoedo
2020-09-30T14:17:43+0000,353551475083023_1102325700205593, , ,686,added_photos,https://scontent-gru1-1.xx.fbcdn.net/v/t1.0-9/s720x720/120496332_1102325660205597_1409526184078239095_o.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=ZvUHKoFPngkAX8hhZTw&_nc_ht=scontent-gru1-1.xx&tp=7&oh=21eeb613e633a1857a72feb8b3dd8018&oe=5F9D5AEB,4833,27,12,116,25,41,False,amoedo
2020-09-29T19:54:37+0000,353551475083023_1101625480275615, , ,665,added_photos,https://scontent-gru2-2.xx.fbcdn.net/v/t1.0-9/s720x720/120225747_1101625456942284_7327039280980616269_o.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=W38XjbmQksoAX_7N-jC&_nc_ht=scontent-gru2-2.xx&tp=7&oh=2b7e59c288fb7a70f82989640d4876ac&oe=5F9E4808,4754,26,31,68,186,26,False,amoedo
2020-09-29T18:53:10+0000,353551475083023_1101582766946553,brasil precisa enfrentar privilegios grupos interesse transformar pais oportunidades,o brasil precisa enfrentar os privilegios dos grupos de interesse para se transformar em um pais com mais oportunidades .,666,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQBBkw-AqX_id8mG&url=https%3A%2F%2Fwww.infomoney.com.br%2Fwp-content%2Fuploads%2F2020%2F08%2FImagem-bandeira.jpg%3Ffit%3D610%252C404%26quality%3D75%26strip%3Dall&_nc_cb=1&_nc_hash=AQCoqqd8VP4a4KZK,5132,38,11,182,106,34,True,amoedo
2020-09-29T17:36:56+0000,353551475083023_1101535920284571,parabens janaina lima modelo representante precisamos politica espero atitude exemplo todos politicos tentarao reeleicao,parabens janaina lima ! esse e o modelo de representante que precisamos na politica . espero que a sua atitude seja um exemplo para todos os politicos que tentarao a reeleicao . https : //www.oantagonista.com/brasil/vereadora-do-novo-abre-mao-de-salario-durante-campanha-por-reeleicao/,628,added_photos,https://scontent-gru1-1.xx.fbcdn.net/v/t1.0-9/120297559_1101535636951266_7515952706899322719_n.png?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=kAfd_KDpeDEAX_yoxax&_nc_ht=scontent-gru1-1.xx&oh=a3cde265e85d63567e4eb750bd553b4f&oe=5F9E2008,6246,93,20,0,4,373,True,amoedo
2020-09-29T16:01:50+0000,353551475083023_1101474356957394, , ,759,added_photos,https://scontent-gru2-2.xx.fbcdn.net/v/t1.0-9/s720x720/120299137_1101474320290731_509557557155547247_o.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=oU8I-29Uo_IAX9VFgHS&_nc_ht=scontent-gru2-2.xx&tp=7&oh=58a4660b88cf133b287106ef822efed3&oe=5F9BE8CA,7356,603,87,92,830,33,False,amoedo
2020-09-29T12:17:52+0000,353551475083023_1101324620305701, , ,636,added_photos,https://scontent-gru1-1.xx.fbcdn.net/v/t1.0-9/s720x720/120538749_1101324566972373_293763642610143921_o.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=DcNYjKnY8fAAX-7sVA4&_nc_ht=scontent-gru1-1.xx&tp=7&oh=610ef28ffceae8b00340ba0decbc3969&oe=5F9E7A3D,6183,14,10,3,3,104,False,amoedo
2020-09-28T21:06:39+0000,353551475083023_1100878640350299,candidato prefeitura curitiba novo dr joao guilherme moraes pode ser grande surpresa eleicao ir segundo turno segundo cientista politico murilo hidalgo diretor instituto parana pesquisas compartilhe conheca outros candidatos candidatosnovoorgbr vote,o candidato a prefeitura de curitiba pelo novo dr. joao guilherme moraes pode ser a grande surpresa da eleicao e ir para o segundo turno segundo o cientista politico murilo hidalgo diretor do instituto parana pesquisas ! compartilhe conheca os outros candidatos em candidatos.novo.org.br e vote 30 !,69,added_video,https://scontent-gru2-2.xx.fbcdn.net/v/t15.5256-10/120428150_659343051653186_7719974340410116382_n.jpg?_nc_cat=105&_nc_sid=ad6a45&_nc_ohc=NxmG0SGZkhEAX-mE48b&_nc_ht=scontent-gru2-2.xx&oh=ccd850f3916264817bb766a8152c131e&oe=5F9C0DC6,815,4,2,0,1,33,True,amoedo
2020-09-28T19:24:42+0000,353551475083023_1100824737022356,pauta brasil precisa gerar emprego renda sendo abandonada favor agenda curto prazo reeleicao presidente,a pauta que o brasil precisa para gerar emprego e renda esta sendo abandonada em favor da agenda de curto prazo de reeleicao do presidente .,513,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQBUQaghRkRcGD7c&url=https%3A%2F%2Fmediastorage.cnnbrasil.com.br%2FIMAGES%2F00%2F00%2F01%2F15621_AE0A09EF1C43F8CA.jpeg&_nc_cb=1&_nc_hash=AQClf4ITQuQ5y72M,2743,114,41,405,1129,12,True,amoedo
