created_time,id,pre_processed_message,message_min_processed,shares,status_type,full_picture,reactions_like,reactions_haha,reactions_wow,reactions_sad,reactions_angry,reactions_love,has_textual_message,author
2020-02-29T23:08:56+0000,398845206932703_1619646634852548,gostam atacar eficiencia universidade publica parabens pesquisadores adolfo lutzusp,essa e para os que gostam de atacar a eficiencia da universidade publica . parabens aos pesquisadores do adolfo lutz/usp !,572,shared_story,https://external.fplu2-1.fna.fbcdn.net/safe_image.php?d=AQCc_7DV1xR9wque&url=http%3A%2F%2Fabrilexame.files.wordpress.com%2F2020%2F02%2F2020-02-18t121814z_1_lynxmpeg1h0wt_rtroptp_4_china-health.jpg%3Fquality%3D70%26strip%3Dinfo%26w%3D680%26h%3D453%26crop%3D1&_nc_hash=AQA_jybX46WNZkLb,1979,3,11,0,0,394,True,boulos
2020-02-29T21:29:15+0000,398845206932703_1619590241524854,amanha,amanha !,44,added_photos,https://scontent.fplu2-1.fna.fbcdn.net/v/t1.0-9/p720x720/89056892_1619590204858191_5242378197495971840_n.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=08ZxRso5t-gAX9T4FPp&_nc_ht=scontent.fplu2-1.fna&_nc_tp=6&oh=13b221cb52c301c84a6e16c54d5ef30f&oe=5EB8E376,959,26,2,0,2,157,True,boulos
2020-02-29T19:11:59+0000,398845206932703_1619508038199741,todos contra reforma previdencia doria alesp terca feira hs,todos contra a reforma da previdencia de doria ! na alesp terca feira as 14hs .,58,added_photos,https://scontent.fplu2-1.fna.fbcdn.net/v/t1.0-9/p720x720/88976140_1619508011533077_8947553673806872576_o.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=tDY6rPDxMKQAX_VHH2d&_nc_ht=scontent.fplu2-1.fna&_nc_tp=6&oh=dac3a856407d09dd1665ea6911ca0756&oe=5EB94E23,311,24,1,0,0,31,True,boulos
2020-02-29T16:01:26+0000,398845206932703_1619356328214912,luiza erundina coordenadores nucleos mtst periferia paulo,com luiza erundina e os coordenadores de nucleos do mtst na periferia de sao paulo .,143,added_photos,https://scontent.fplu2-1.fna.fbcdn.net/v/t1.0-9/s720x720/85026115_1619356298214915_1186615617533247488_o.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=jKtqnrRfci8AX8q5WW3&_nc_ht=scontent.fplu2-1.fna&_nc_tp=7&oh=13ed3e4cd31bd6e38c2ab42039064820&oe=5EB7950C,2499,38,5,0,6,435,True,boulos
2020-02-29T13:49:22+0000,398845206932703_1619218554895356,grana tras dia bolsonarista,a grana por tras do dia 15 bolsonarista .,1158,shared_story,https://external.fplu2-1.fna.fbcdn.net/safe_image.php?d=AQCyNuQ1wPbhKnEp&url=https%3A%2F%2Frevistaforum.com.br%2Fwp-content%2Fuploads%2F2019%2F05%2Fbrasil-200-e1558574937795.jpg&_nc_hash=AQBYAcLvtHxhmJqH,1850,99,28,51,717,19,True,boulos
2020-02-28T17:25:04+0000,398845206932703_1618392334977978,moro rastejante,moro rastejante .,3661,added_photos,https://scontent.fplu2-1.fna.fbcdn.net/v/t1.0-9/s720x720/85066124_1618392311644647_778407116674170880_o.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=O9yOtrqbnbQAX-VqK7N&_nc_ht=scontent.fplu2-1.fna&_nc_tp=7&oh=c1acfd5518eae1b14a57ce3e0ba80117&oe=5EB8CE61,7327,256,58,136,1315,46,True,boulos
2020-02-28T14:54:21+0000,398845206932703_1618252431658635,vamos ruas dia,vamos as ruas dia 18 !,2870,shared_story,https://external.fplu2-1.fna.fbcdn.net/safe_image.php?d=AQDuktFRZjOSc-cs&url=https%3A%2F%2Fimg.estadao.com.br%2Fresources%2Fjpg%2F0%2F6%2F1559254007560.jpg&_nc_hash=AQDYUPJNoF5n20xd,7115,193,14,0,19,1273,True,boulos
2020-02-28T00:37:09+0000,398845206932703_1617612131722665,vamos ruas dia todo brasil contra bolsonaro democracia direitos ditaduranuncamais povosemmedo,vamos as ruas dia 18 em todo o brasil ! contra bolsonaro por democracia e direitos . # ditaduranuncamais # povosemmedo,9530,added_video,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.5256-10/83910381_650389565722192_6679711349817212928_n.jpg?_nc_cat=111&_nc_sid=ad6a45&_nc_ohc=gpX6IOxV_ZYAX9X2p3N&_nc_ht=scontent.fplu2-1.fna&oh=e373ea0778d31b4f516e2031a6dd53f2&oe=5EB71EDC,7814,9973,33,16,668,1328,True,boulos
2020-02-27T22:08:25+0000,398845206932703_1617512548399290,vamos ruas dia contra bolsonaro defesa democracia direitos ditaduranuncamais,vamos as ruas dia 18 ! contra bolsonaro em defesa da democracia e dos direitos . # ditaduranuncamais,5964,added_photos,https://scontent.fplu2-1.fna.fbcdn.net/v/t1.0-9/p720x720/87524949_1617512528399292_5237890111290474496_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=BtUUsA4iv78AX_pX82b&_nc_ht=scontent.fplu2-1.fna&_nc_tp=6&oh=2d9c766102443f962493ded9338e3902&oe=5EB8BB5E,9738,496,16,3,22,1674,True,boulos
2020-02-27T14:10:57+0000,398845206932703_1617182471765631,juntos dani portela basta violencia policial,estamos juntos dani portela . basta de violencia policial !,147,mobile_status_update,https://scontent.fplu2-1.fna.fbcdn.net/v/t1.0-9/s720x720/87389573_2612832052331749_6772109359213182976_n.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=XbYEipeJ9aQAX_n2URm&_nc_ht=scontent.fplu2-1.fna&_nc_tp=7&oh=93c3f45e26ac810da8247cb688383522&oe=5EB8B07A,854,25,15,382,249,8,True,boulos
