created_time,id,pre_processed_message,message_min_processed,shares,status_type,full_picture,reactions_like,reactions_haha,reactions_wow,reactions_sad,reactions_angry,reactions_love,has_textual_message,author
2020-02-29T11:01:03+0000,1216504185136925_2759520277501967,politica industrial comercio exterior quebraremos novo assim escrevi aqui nov assim permanece coronavirus falta projeto politica economica privilegia ricos incompetencia despreparo brasil entregue financismo antipovo,`` sem politica industrial e de comercio exterior quebraremos de novo '' . assim escrevi aqui em nov/2019 . assim permanece . nao e coronavirus e falta de projeto e politica economica que so privilegia os ricos . e incompetencia e despreparo ! e o brasil entregue ao financismo e ao anti-povo .,1714,added_video,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.5256-10/83927488_2587234298179228_3193703815488471040_n.jpg?_nc_cat=105&_nc_sid=ad6a45&_nc_ohc=QjPGrbmgw14AX9ET2hl&_nc_ht=scontent.fplu2-1.fna&oh=3a848e9191804086ccd435c7691f0388&oe=5EB6D51D,4685,154,31,12,31,188,True,ciro
2020-02-28T22:05:29+0000,1216504185136925_2758458894274772,orgulhoso governador camilo santana assim poder democratico civil impoe fascismo milicianismo bandido minoria violenta suja boa imagem respeito policia deve merecer povo,orgulhoso de meu governador camilo santana ! e assim que o poder democratico civil se impoe ao fascismo e ao milicianismo bandido que como minoria violenta suja a boa imagem e o respeito que a policia deve merecer de nosso povo !,348,mobile_status_update,https://scontent.fplu2-1.fna.fbcdn.net/v/t1.0-9/s720x720/88082177_2652306631668580_6312860252987457536_o.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=N2yCfF2JGpcAX_lJGrr&_nc_ht=scontent.fplu2-1.fna&_nc_tp=7&oh=91eff4775866e49c798c302320371047&oe=5EB75FE3,5577,60,16,1,16,778,True,ciro
2020-02-28T17:58:43+0000,1216504185136925_2758075524313109,marque pessoa ainda simpatia bolsonaro peca assistir video pesquisar dados vamos expor mentiras bolsonaro realmente,marque aquela pessoa que ainda tem simpatia por bolsonaro peca para assistir ao video e pesquisar sobre esses dados . vamos expor as mentiras de bolsonaro e quem ele realmente e .,3408,added_video,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.5256-10/83902610_665350754208792_2716152109857767424_n.jpg?_nc_cat=106&_nc_sid=ad6a45&_nc_ohc=BQUm38nxbKUAX_G3La6&_nc_ht=scontent.fplu2-1.fna&oh=dad361ea7f72d899df2bf92aea594797&oe=5EB7E2F0,5652,273,28,14,67,532,True,ciro
2020-02-28T12:01:51+0000,1216504185136925_2757365104384151,bolsonaro mentindo populacao brasileira vamos defender constituicao,bolsonaro esta mentindo para a populacao brasileira . vamos defender a constituicao !,1237,added_video,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.5256-10/81815356_187050395915139_1341940738971140096_n.jpg?_nc_cat=110&_nc_sid=ad6a45&_nc_ohc=iXqMor4uSE8AX9QZpJl&_nc_ht=scontent.fplu2-1.fna&oh=1a7bb87da3f281b2f275de83aa2a9922&oe=5EB8701C,5413,388,21,5,37,611,True,ciro
2020-02-27T10:42:33+0000,1216504185136925_2755088177945177,maluquice consolidada sob aplauso elite brasileira teto gastos impacta diretamente vida povo pobre assim educacao seguranca etc apenas setor financeiro poucas pessoas ficarem ainda ricas,a maluquice consolidada . sob aplauso da elite brasileira este teto de gastos . impacta diretamente na vida do povo mais pobre . assim sera tambem com educacao seguranca etc . de fora apenas o setor financeiro para poucas pessoas ficarem ainda mais ricas .,2996,shared_story,https://external.fplu2-1.fna.fbcdn.net/safe_image.php?d=AQAo7WJG1ZoChfFE&url=https%3A%2F%2Fs2.glbimg.com%2FynJNLvG8x7F3hAZjDqAOQHSptFs%3D%2F1200x%2Fsmart%2Ffilters%3Acover%28%29%3Astrip_icc%28%29%2Fi.s3.glbimg.com%2Fv1%2FAUTH_59edd422c0c84a879bd37670ae4f538a%2Finternal_photos%2Fbs%2F2020%2Fa%2FF%2FCLHqtrR0Aa8ahPmRNQ9Q%2Frreo.conofetesouroasps.png&_nc_hash=AQAlwrUz7n03VXem,3594,22,37,533,793,3,True,ciro
2020-02-26T14:58:01+0000,1216504185136925_2494345274213192,live ciro gomes,live com ciro gomes,8258,added_video,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.5256-10/83879507_2494348607546192_3539403972206919680_n.jpg?_nc_cat=105&_nc_sid=ad6a45&_nc_ohc=YTWLgo_Gq2QAX_8PPAa&_nc_ht=scontent.fplu2-1.fna&oh=b5af6bfb2dec8783936449d26321e444&oe=5EB7B0EE,12518,2685,135,84,2007,3848,True,ciro
2020-02-26T13:10:43+0000,1216504185136925_2753067298147265,logo h farei rapida live vamos falar momento pais vive participe envie perguntas,logo mais 12h farei uma rapida live com voces . vamos falar sobre o momento que nosso pais vive . participe ! envie suas perguntas !,178,mobile_status_update,None,4019,85,6,2,6,172,True,ciro
2020-02-26T09:40:57+0000,1216504185136925_2752756968178298,bichos escrotos milicianos,bichos escrotos estes milicianos !,1044,mobile_status_update,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.13418-10/81501796_1082385115441083_256772725710782464_n.jpg?_nc_cat=110&_nc_sid=ad6a45&_nc_ohc=U4RK1C9L5AYAX9vE5Kj&_nc_ht=scontent.fplu2-1.fna&oh=5762beb2df6a0a85318abed74c5203b8&oe=5EB624C0,6150,85,9,1,19,725,True,ciro
2020-02-26T09:40:22+0000,1216504185136925_2752756394845022,tudo fazem falam caracteriza mentira bandidagem,tudo que fazem e falam se caracteriza por mentira e bandidagem !,573,mobile_status_update,https://scontent.fplu2-1.fna.fbcdn.net/v/t15.5256-10/83404851_219434726117827_6202612917855059968_n.jpg?_nc_cat=104&_nc_sid=ad6a45&_nc_ohc=PYljIRX-R4cAX_22Ibb&_nc_ht=scontent.fplu2-1.fna&oh=44a2c08be79393d17ecd4d2853bd48f4&oe=5EB7208A,3575,58,6,10,11,304,True,ciro
2020-02-25T23:59:03+0000,1216504185136925_2752002074920454,acredito seriedade jornalista vera magalhaes proprio presidente republica convoca manifestacoes contra congresso stf resta duvida todos prezam democracia devem reagir criminoso excitar populacao mentiras contra instituicoes democraticas causa nenhuma ser agenda antipobre antiproducao entreguista riquezas estrangeiros vamos lutar preservacao constituicao brasil congresso sob liderancas rodrigo maia davi alcolumbre stf todos ministros saibam reagir ameaca,acredito na seriedade da jornalista vera magalhaes . se o proprio presidente da republica convoca manifestacoes contra o congresso e o stf nao resta duvida de que todos aqueles que prezam pela democracia devem reagir . e criminoso excitar a populacao com mentiras contra as instituicoes democraticas e sem causa nenhuma a nao ser sua agenda anti-pobre anti-producao e entreguista de nossas riquezas aos estrangeiros . vamos lutar pela preservacao da constituicao e pelo brasil ! que o congresso sob as liderancas de rodrigo maia e davi alcolumbre e o stf com todos os ministros saibam reagir a essa ameaca .,2346,mobile_status_update,None,11512,205,45,27,35,998,True,ciro
